,title,description,release_year,runtime,genres,production_countries,imdb_score
20,Ava,black op assassin forc fight surviv job goe danger wrong,2020,96,"['thriller', 'crime', 'action', 'drama']",['US'],5.4
21,The Trial of the Chicago 7,suppos peac protest turn violent clash polic follow one notori trial histori,2020,130,"['drama', 'history', 'thriller']",['US'],7.7
22,Da 5 Bloods,four africanamerican vietnam veteran return vietnam search remain fallen squad leader promis buri treasur hero battl forc human natur confront last ravag immor vietnam war,2020,156,"['war', 'drama']",['US'],6.5
23,The Midnight Sky,postapocalypt tale follow augustin lone scientist arctic race stop sulli fellow astronaut return home mysteri global catastroph,2020,118,"['drama', 'scifi', 'thriller', 'fantasy']",['US'],5.6
24,The Wrong Missy,guy meet woman dream invit compani corpor retreat realiz sent invit wrong person,2020,90,"['romance', 'comedy']",['US'],5.7
25,Brahms: The Boy II,famili move heelshir mansion young son soon make friend lifelik doll call brahm,2020,86,"['thriller', 'horror', 'drama']","['CN', 'US', 'AU', 'CA']",4.7
26,Rebecca,whirlwind romanc wealthi widow naïv bride move famili estat cant escap haunt shadow late wife,2020,123,"['romance', 'drama', 'thriller']",['GB'],6.0
27,Bad Trip,two pal embark road trip full funni prank pull real peopl mayhem,2020,87,"['comedy', 'reality']","['CA', 'US']",6.5
28,The Half of It,shi straighta student elli hire sweet inarticul jock paul need help woo popular girl school new unlik friendship get tricki elli discov feel girl,2020,104,"['comedy', 'romance', 'drama']",['US'],6.9
29,The Prom,troup hilari selfobsess theater star swarm small conserv indiana town support high school girl want take girlfriend prom,2020,130,"['comedy', 'drama', 'music', 'romance']",['US'],5.9
30,Ma Rainey's Black Bottom,tension rise trailblaz blue singer rainey band gather record studio chicago ,2020,94,"['drama', 'music']",['US'],6.9
31,The Call,connect phone home  year apart serial killer put anoth woman past — life — line chang fate,2020,112,"['scifi', 'thriller', 'drama', 'crime', 'horror']",['KR'],7.1
32,Hillbilly Elegy,urgent phone call pull yale law student back ohio hometown reflect three generat famili histori futur,2020,117,['drama'],['US'],6.7
33,Occupation: Rainfall,two year alien land earth survivor sydney australia fight desper war number casualti continu grow,2020,128,"['scifi', 'action']",['AU'],5.2
34,We Summon the Darkness,three best friend attend heavymet show cross path sadist killer travel seclud countri home parti,2020,91,"['thriller', 'horror', 'comedy', 'music']",['US'],5.2
35,The Paper Tigers,three middl age men polish martial art skill aveng fallen master,2020,110,"['comedy', 'action']",['US'],6.3
36,Dick Johnson Is Dead,invent portrait director kirsten johnson seek way keep  father aliv forev util moviemak magic famili dark humor celebr dr dick johnson last year stage fantasi death beyond togeth dad daughter confront great inevit await us,2020,89,"['documentation', 'drama']",['US'],7.4
37,The Old Ways,cristina journalist mexican origin travel ancestr home veracruz investig stori sorceri heal kidnap group local claim shes devil incarn,2020,90,"['fantasy', 'horror', 'thriller', 'drama']",['US'],5.4
38,Pokémon the Movie: Secrets of the Jungle,stori koko young boy rais pokémon creation new bond human pokémon,2020,99,"['family', 'fantasy', 'animation', 'action', 'scifi']",['JP'],6.4
39,Project Power,exsoldi teen cop collid new orlean hunt sourc behind danger new pill grant user temporari superpow,2020,113,"['crime', 'scifi', 'action', 'thriller']",['US'],6.0
40,#Alive,grisli virus rampag citi lone man stay lock insid apart digit cut seek help desper find way,2020,98,"['horror', 'thriller', 'action', 'drama']",['KR'],6.3
41,Tremors: Shrieker Island,graboid illeg taken new island resort rich playboy danger form trophi hunt burt gummer step save day,2020,103,"['action', 'horror']",['US'],
42,Tread,push break point master welder small town foot rocki mountain quiet fortifi bulldoz  ton concret steel seek destroy believ wrong,2020,88,"['crime', 'documentation']",['US'],7.1
43,Lost Girls,mari gilbert daughter disappear polic inact drive investig gate long island communiti shannan last seen search bring attent dozen murder sex worker,2020,95,"['thriller', 'drama', 'crime']",['US'],6.1
44,Crip Camp: A Disability Revolution,road woodstock earli  revolut blossom ramshackl summer camp disabl teenag transform young live ignit landmark movement,2020,107,"['documentation', 'history']",['US'],7.7
45,Spenser Confidential,two boston polic offic murder excop spenser team nononsens roommat hawk take crimin,2020,111,"['action', 'comedy', 'drama', 'thriller', 'crime']",['US'],6.2
46,David Attenborough: A Life on Our Planet,stori life planet man seen natur world  year attenborough visit everi contin globe explor wild place planet document live world varieti wonder address biggest challeng face life planet film offer power messag hope futur generat,2020,83,['documentation'],['GB'],8.9
47,American Pie Presents: Girls' Rules,senior year east great fall anni kayla michell stephani decid har girl power band togeth get want last year high school,2020,95,['comedy'],['US'],
48,Cut Throat City,four boyhood friend return new orlean lower ninth ward hurrican katrina find home decim prospect work swept away turn local gangster employ crew hire pull dare casino heist right heart citi,2020,123,"['thriller', 'drama', 'action', 'crime']",['US'],4.8
49,The Water Man,hope save sick mother boy name gunner friend jo ventur remot wild hors forest search mythic figur possess secret immort go miss gunner father amo must immers son world find,2020,92,"['action', 'thriller', 'drama', 'family', 'fantasy']",['US'],5.4
50,The Lost Husband,tri put life back togeth death husband libbi children move estrang aunt goat farm central texa,2020,109,"['romance', 'drama']",['US'],6.1
51,Horse Girl,social awkward woman fond art craft hors supernatur crime show find increas lucid dream trickl wake life,2020,104,['drama'],['US'],
52,Over the Moon,anim music girl build rocket ship blast hope meet mythic moon goddess,2020,95,"['comedy', 'family', 'fantasy', 'scifi', 'romance', 'animation']","['CN', 'US']",6.3
53,Kiss the Ground,shed light altern approach farm call “regen agriculture” could balanc climat replenish vast water suppli feed world,2020,84,['documentation'],['US'],8.2
54,Jiu Jitsu,everi six year ancient order jiujitsu fighter join forc battl vicious race alien invad celebr war hero goe defeat fate planet mankind hang balanc,2020,102,"['action', 'scifi', 'fantasy', 'thriller', 'comedy']","['US', 'CY']",2.9
55,American Murder: The Family Next Door,use raw firsthand footag documentari examin disappear shanann watt children terribl event follow,2020,83,"['documentation', 'thriller', 'crime']",['US'],7.2
56,The Vanished,famili vacat take terrifi turn parent paul wendi discov young daughter vanish without trace stop noth find search truth lead shock revel,2020,115,"['thriller', 'action', 'crime']",['US'],5.7
57,2 Hearts,ill strike two peopl polar opposit life death bring togeth surpris way,2020,100,"['drama', 'romance']",['US'],6.2
58,The Edge of All We Know,documentari film follow quest understand mysteri object univers black hole,2020,99,['documentation'],['US'],6.6
59,Wasp Network,havana cuba  rené gonzález airplan pilot unexpect flee countri leav behind wife olga daughter irma begin new life miami becom member anticastro organ,2020,128,"['thriller', 'drama', 'crime']","['BR', 'FR', 'ES', 'BE']",5.9
60,We Can Be Heroes,alien invad captur earth superhero kid must learn work togeth save parent  planet,2020,97,"['fantasy', 'drama', 'family', 'action', 'comedy']",['US'],4.7
61,All the Bright Places,two teen face person struggl form power bond embark cathart journey chronicl wonder indiana,2020,108,"['romance', 'drama']",['US'],6.5
62,The Last Blockbuster,documentari last remain blockbust video locat bend oregon,2020,86,['documentation'],['US'],6.7
63,Night in Paradise,assassin name taegoo offer chanc switch side rival bukseong gang head chairman doh taegoo reject offer result murder sister niec reveng taegoo brutal kill chairman doh men flee jeju island meet jaeyeon termin ill woman though henchman bukseong gang execut merciless hunt taegoo take reveng,2020,131,"['thriller', 'drama', 'action', 'crime']",['KR'],6.7
64,The Disciple,selfdoubt sacrific struggl converg existenti crisi devot classic vocalist masteri strive remain elus,2020,128,"['drama', 'music']",['IN'],7.1
65,The Boys in the Band,birthday parti  new york surpris guest drunken game leav seven gay friend reckon unspoken feel buri truth,2020,121,['drama'],['US'],6.8
66,Miss Americana,raw emot reveal look one icon artist time transform period life learn embrac role songwrit perform woman har full power voic,2020,85,"['music', 'documentation']",['US'],7.4
67,The Forty-Year-Old Version,radha downonherluck ny playwright desper breakthrough  reinvent rapper radhamusprim vacil world hip hop theater order find true voic,2020,123,"['comedy', 'drama', 'music']",['US'],7.2
68,Audrey,intim look audrey hepburn life access exclus neverbeforeseen footag famili person collect provid unpreced insight view audrey life dream aspir everlast legaci,2020,100,"['documentation', 'history']","['US', 'CH']",7.1
69,Calm with Horses,darkest rural ireland exbox dougla arm armstrong becom fear enforc drugdeal dever famili whilst also tri good father autist fiveyearold son jack torn two famili arm loyalti truli test ask kill first time,2020,100,"['crime', 'drama']","['IE', 'GB']",6.8
70,Skylines,virus threaten turn earthdwel friend alien hybrid human captain rose corley must lead team elit mercenari mission alien world order save what left human,2020,113,"['scifi', 'action']","['FR', 'LT', 'GB']",4.7
71,Captain Underpants: Epic Choice-o-rama,interact special harold georg need decisionmak skill stop krupp blow belov treehous smithereen,2020,37,"['comedy', 'fantasy', 'family', 'animation', 'action', 'scifi']",['US'],6.4
72,Love Wedding Repeat,tri make sister wed day go smooth jack find juggl angri exgirlfriend uninvit guest secret misplac sleep sedat girl got away altern version day,2020,100,"['comedy', 'romance']","['GB', 'IT']",5.5
73,Disclosure,investig hollywood fabl stori deepli influenc american feel transgend peopl transgend peopl taught feel,2020,107,['documentation'],['US'],8.2
74,The Decline,anticip disast antoin father attend survivalist train given alain autonom hideout fear natur econom social crisi group train face differ possibl apocalypt scenario disast experi one predict,2020,83,"['thriller', 'action']",['CA'],6.0
75,What Lies Below,liberti social awkward  return two month camp blindsid introduct mother fiancé john smith whose charm intellig beauti paint pictur man perfect human,2020,87,"['horror', 'thriller', 'scifi']",['US'],4.3
76,The Sleepover,two sibl discov seem normal mom former thief wit protect mom forc pull one last job kid team rescu cours actionpack night,2020,103,"['action', 'comedy', 'family']",['US'],5.6
77,Milkwater,seek direct purpos milo rash decid becom surrog egg donor older gay man meet bar howev milo becom increas attach start leverag pregnanc mean stay embed life,2020,102,"['comedy', 'drama']",['US'],
78,Sergio,sweep drama set chaotic aftermath us invas iraq life top un diplomat sergio vieira de mello hang balanc treacher mission career,2020,118,"['drama', 'history', 'romance', 'documentation']","['JO', 'TH', 'US', 'AL']",6.2
79,Made You Look: A True Story About Fake Art,woman walk new york galleri cach unknown masterwork thus begin stori art world greed will highstak con,2020,96,"['documentation', 'crime']",['CA'],7.0
80,The Swarm,singl mother breed locust highprotein food troubl get reproduc find tast blood,2020,101,"['horror', 'drama', 'fantasy', 'european']",['FR'],5.3
81,A Whisker Away,miyo muge sasaki peculiar secondyear junior high student fallen love classmat kento hinod muge resolut pursu kento everi day take notic nevertheless carri secret tell one muge continu pursu kento muge discov magic mask allow transform cat name tarō magic let muge get close kento eventu may also make unabl transform back human,2020,104,"['fantasy', 'drama', 'romance', 'animation', 'family']",['JP'],6.7
82,Fatima, outsid parish fátima portug  girl two younger cousin wit multipl visit virgin mari tell prayer suffer bring end world war  secularist govern offici church leader tri forc children recant stori word sight spread across countri inspir religi pilgrim flock site hope wit miracl,2020,113,"['drama', 'war']","['PT', 'US']",6.5
83,Concrete Cowboy,sent live estrang father summer rebelli teen find kinship tightknit philadelphia communiti black cowboy,2020,111,"['western', 'drama']","['US', 'GB']",6.3
84,The Boss Baby: Get That Baby!,think youv got take boss interact special put skill test match one  job babi corp,2020,24,['animation'],['US'],
85,Uncorked,elijah must balanc dream becom master sommeli father expect carri famili memphi bbq joint,2020,104,"['drama', 'comedy']",['US'],6.4
86,Barbie: Princess Adventure,new friend new kingdom barbi learn mean trade place royal lookalik music adventur,2020,71,"['animation', 'family']",['US'],5.5
87,Nobody Sleeps in the Woods Tonight,addict technolog group teen attend rehabilit camp forest sinist forc intend take offlin forev,2020,102,"['horror', 'thriller', 'drama', 'romance', 'fantasy', 'european']",['PL'],4.9
88,The Reason I Jump,base book nonverb autist man naoki higashida filmmak jerri rothwel examin live five nonspeak autist youngster,2020,82,"['documentation', 'drama']","['US', 'GB']",7.5
89,Violet Evergarden: The Movie,world move war technolog advanc bring chang life violet still hope see lost command offic,2020,140,"['fantasy', 'animation', 'drama', 'romance']",['JP'],8.3
90,The Willoughbys,four willoughbi children abandon selfish parent must learn adapt oldfashion valu contemporari world order creat someth new modern famili,2020,92,"['comedy', 'fantasy', 'animation', 'drama', 'family']",['CA'],6.3
91,Cuties,ami  girl join group dancer name “the cuties” school rapid grow awar burgeon femininity—upset mother valu process,2020,96,"['drama', 'european']",['FR'],3.4
92,The Babysitter: Killer Queen,two year defeat satan cult led babysitt bee cole tri forget past focus surviv high school old enemi unexpect return cole outsmart forc evil,2020,101,"['comedy', 'horror']",['US'],5.8
93,Cadaver,aftermath nuclear disast starv famili find hope charismat hotel owner lure prospect free dinner discov even entertain blur line perform realiti wind spectat spectacl,2020,86,"['thriller', 'horror', 'drama']","['FI', 'NO']",5.1
94,Holidate,fed singl holiday two stranger agre other platon pluson year long catch real feel along way,2020,104,"['romance', 'comedy']",['US'],6.1
95,Sightless,attack render blind ellen ashland withdraw world recov soon plung paranoia unabl convinc anyon assail return terror hide plain sight,2020,89,"['drama', 'thriller']",['US'],5.5
96,The Last Thing He Wanted,turn point irancontra affair elena mcmahon fearless investig journalist cover  us presidenti campaign put danger abandon assign task order fulfil last wish ail father mysteri man whose past activ bare know,2020,116,"['thriller', 'crime', 'drama']","['GB', 'US']",4.3
97,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,kimmi famous author shes marri princ first foil reverend evil plot move kimmi next,2020,80,"['comedy', 'scifi', 'romance']",['US'],6.9
98,Dragonheart: Vengeance,luka young farmer whose famili kill savag raider countrysid set epic quest reveng form unlik trio majest dragon swashbuckl swordfight mercenari darius,2020,96,"['action', 'european']",['US'],
99,9to5: The Story of A Movement,campaign abus femal worker male boss start earli  cleveland lead popular fiction film fonda parton tomlin,2020,89,"['documentation', 'history']",['US'],7.4
100,To All the Boys: P.S. I Still Love You,lara jean peter taken romanc pretend offici real anoth recipi one love letter enter pictur,2020,102,"['romance', 'comedy', 'drama']",['US'],6.0
101,Hubie Halloween,hubi duboi despit devot hometown salem massachusett legendari halloween celebr figur mockeri kid adult alik year someth realli go bump night it hubi save halloween,2020,103,"['horror', 'comedy', 'thriller', 'fantasy']",['US'],5.2
102,Vampires vs. the Bronx,three gutsi kid rapid gentrifi bronx neighborhood stumbl upon sinist plot suck life belov communiti,2020,86,"['comedy', 'horror']",['US'],5.6
103,The Stand In,order serv year rehab actress candi hire onset standin take place unassum woman flip script steal ident career boyfriend hilari comedi trade place,2020,97,"['comedy', 'drama']",['US'],4.7
104,Don't Listen,strang death young son new home daniel hear ghost plea help spur seek renown paranorm expert,2020,98,"['thriller', 'horror', 'european']",['ES'],
105,Altered Carbon: Resleeved,planet latim takeshi kovac must protect tattooist investig death yakuza boss alongsid nononsens ctac,2020,75,"['scifi', 'animation', 'crime', 'drama', 'thriller', 'action']",['JP'],6.5
106,Have a Good Trip: Adventures in Psychedelics,celebr recal mindbend trip via anim reenact comed documentari explor stori psychedel,2020,85,"['documentation', 'comedy']",['US'],6.8
107,Forensic,forens analyst investig offic chase hunt gruesom serial killer crack one famous cold case histori depart,2020,134,"['crime', 'thriller']",['IN'],6.8
108,The Stronghold,polic brigad work danger northern neighborhood marseill level crime higher anywher els franc,2020,105,"['crime', 'thriller', 'action', 'european']",['FR'],6.9
109,Coded Bias,explor fallout mit media lab research joy buolamwini startl discoveri facial recognit see darkskin face accur journey push firstev legisl us govern bias algorithm impact us,2020,86,['documentation'],"['US', 'CN', 'GB']",6.7
110,I Am Woman,stori helen reddi  land new york threeyearold daughter suitcas  pocket within week broke within month love within five year one biggest superstar time icon  feminist movement wrote song galvan generat women fight chang,2020,116,"['drama', 'music', 'romance', 'history']",['AU'],6.5
111,Bigfoot Family,bigfoot adam father want use fame good caus protect larg wildlif reserv alaska sound like perfect opportun bigfoot mysteri disappear without trace adam anim friend brave anyth find save natur reserv,2020,97,"['animation', 'family']","['BE', 'FR']",5.8
112,Death of Me,coupl holiday remot south pacif island awaken one morn hang recollect transpir play back video previous night see particip local ritual somehow end murder,2020,95,"['horror', 'thriller']","['US', 'TH']",4.4
113,Lost Bullet,small time delinqu turn polic mechan go fast task forc forc defend innoc mentor kill dirti cop,2020,92,"['thriller', 'action', 'crime']","['BE', 'FR']",6.3
114,Tigertail,man reflect lost love youth longago journey taiwan america begin reconnect estrang daughter,2020,91,['drama'],['US'],6.6
115,A Fall from Grace,lawabid woman get indict murder husband lawyer soon realiz larger conspiraci may work,2020,120,"['thriller', 'drama', 'fantasy']",['US'],5.8
116,Ghosts of War,group world war ii american soldier encount supernatur enemi occupi french castl previous nazi control,2020,94,"['war', 'fantasy', 'horror', 'thriller']",['GB'],5.5
117,Friendsgiving,molli abbey along crew close friend acquaint host dysfunct comic chaotic thanksgiv dinner,2020,95,"['comedy', 'drama']",['US'],4.4
118,Jerry Seinfeld: 23 Hours to Kill,jerri seinfeld take stage new york tackl talk vs text bad buffet vs socal great restaur magic pop tart,2020,60,['comedy'],['US'],6.7
119,Death to 2020, year  even creator of black mirror couldnt make up… doesnt mean dont littl someth add comedi event tell stori dread year — perhap still documentarystyl special weav togeth world fictiti renown voic reallif archiv footag,2020,71,['comedy'],"['GB', 'US']",6.8
120,Lingua Franca,olivia undocu filipina immigr paranoid deport work caregiv russianjewish grandmoth brighton beach brooklyn ny man she secret pay green card marriag back becom involv slaughterhous worker unawar she tran woman,2020,95,['drama'],"['PH', 'US']",6.5
121,The Life Ahead,seasid itali holocaust survivor daycar busi take  street kid recent rob,2020,94,"['drama', 'european']","['IT', 'US']",6.8
122,The Hater,duplicit young man find success dark world social media smear tactic — virtual vitriol soon violent reallif consequ,2020,135,"['drama', 'thriller', 'european']",['PL'],
123,Desperados,panick young woman two best friend fli mexico delet rant email sent new boyfriend arriv run former beau soon get caught frantic scheme,2020,105,"['comedy', 'romance']",['US'],5.2
124,Dave Chappelle: The Kennedy Center Mark Twain Prize,outstand lineup entertain gather kennedi center concert hall salut dave chappell recipi  annual mark twain prize american humor,2020,86,['comedy'],['US'],7.4
125,Becoming,join former first ladi michell obama intim documentari look life hope connect other,2020,89,['documentation'],['US'],6.8
126,Captain Underpants: Mega Blissmas,christma get weird  realli weird  georg harold go back time chang belov holiday tradit,2020,46,"['animation', 'comedy', 'family']",['US'],5.2
127,The Occupant,unemploy execut forc sell apart discov still key becom obsess famili live decid recov life lost price,2020,103,"['thriller', 'european', 'horror', 'drama']",['ES'],6.4
128,Money Heist: The Phenomenon,documentari money heist spark wave enthusiasm around world lovabl group thiev professor,2020,57,['documentation'],['ES'],7.4
129,Words Bubble Up Like Soda Pop,meet one bright sunni day shi boy express haiku bubbl selfconsci girl share brief magic summer,2020,87,"['animation', 'drama']",['JP'],
130,Freaks – You're One of Us,chanc encount mysteri charact wendi young work class mother discov super power,2020,93,"['fantasy', 'thriller', 'drama', 'action', 'scifi']",['DE'],5.4
131,Hannah Gadsby: Douglas,hannah gadsbi return second special dig deep complex popular ident unusu dog park encount,2020,72,['comedy'],['AU'],
132,Time to Hunt,four young men want leav dystopian world behind go distant paradis execut money robberi dare act unexpect consequ,2020,135,"['thriller', 'drama', 'action', 'scifi', 'crime']",['KR'],6.3
133,Jo Koy: In His Elements,jo koy return philippin show local cultur headlin special featur filipino american comedian djs hiphop dancer,2020,55,['comedy'],['US'],5.4
134,The Last Days of American Crime,nottoodist futur final respons crime terror us govern plan broadcast signal make imposs anyon know break law,2020,149,"['action', 'crime', 'thriller', 'scifi', 'drama']",['US'],3.7
135,Taylor Tomlinson: Quarter-Life Crisis,comedian taylor tomlinson halfway  — shes date loser fail engag take aim life choic,2020,61,['comedy'],['US'],7.4
136,The Speed Cubers,documentari captur extraordinari twist turn journey rubik cubesolv champion max park felik zemdeg,2020,41,['documentation'],['US'],
137,Jingle Jangle: A Christmas Journey,imaginari world come life holiday tale eccentr toymak adventur granddaught magic invent power chang live forev,2020,122,"['fantasy', 'music', 'family']",['US'],6.4
138,Dangerous Lies,lose waitress job kati franklin take job caretak wealthi elder man sprawl empti chicago estat two grow close unexpect pass away name kati sole heir husband adam pull complex web lie decept murder shes go surviv kati question everyon motiv — even peopl love,2020,96,"['thriller', 'horror', 'drama', 'comedy', 'crime']",['US'],5.3
139,Your Name Engraved Herein, martial law end taiwan jiahan birdi fall love amid famili pressur homophobia social stigma,2020,118,"['drama', 'romance']",['TW'],7.2
140,Dance of the Forty One,mexico citi novemb  polic raid privat home secret parti held among attend soninlaw presid porfirio díaz,2020,99,"['drama', 'history']","['BR', 'MX']",6.8
141,Me Against You: Mr. S's Vendetta,young coupl make popular youtub video children set win award evil mastermind stand way success,2020,64,"['comedy', 'family', 'european']",['IT'],1.6
142,Tom Segura: Ball Hog,tom segura score laugh uncomfort candid stori mother father follow dream — thing youd rather think,2020,70,['comedy'],['US'],7.3
143,Coffee & Kareem,twelveyearold kareem man hire crimin scare mom new boyfriend polic offic jame coffe  backfir forc coffe kareem team order save detroit ruthless drug kingpin,2020,88,"['crime', 'action', 'comedy']",['US'],5.1
144,Silver Skates, christmastim stpetersburg icecov river canal capit seeth festiv activ eve new centuri destin meet come togeth peopl differ world matvey son lamplight whose treasur silverpl skate alic daughter highrank offici dream scienc difficult lifestori accident met rush forward togeth pursuit dream,2020,136,"['history', 'romance', 'action', 'drama', 'family']",['RU'],7.1
145,Thomas & Friends: Marvelous Machinery,ruth thomass new friend bring great excit adventur technolog,2020,59,"['fantasy', 'animation', 'action', 'family']",[],6.1
146,Debt Collectors,pair debt collector thrust explos danger situat chase various lowlif also evad veng kingpin,2020,97,"['action', 'comedy', 'crime']",['US'],5.8
147,The Crimes That Bind,desper confus alicia imposs keep son prison hes convict tri murder exwif,2020,99,"['crime', 'drama', 'thriller']",['AR'],6.7
148,"Love, Guaranteed",save small law firm earnest lawyer susan take highpay case nick charm new client want sue date websit guarante love case heat susan nick feel,2020,90,"['comedy', 'romance']",['US'],5.6
149,The Kissing Booth 2,sequel  kiss booth high school senior ell juggl longdist relationship dreami boyfriend noah colleg applic new friendship handsom classmat could chang everyth,2020,134,"['comedy', 'romance']",['GB'],5.7
150,Dear Mother,one day jeanloui discov heart stop dead walk talk heart longer beat help wife friend tri understand origin mysteri,2020,98,"['comedy', 'drama']","['BE', 'FR']",5.8
151,The F**k-It List,prank blow studious high school senior life share list certain thing wish hed done differ — mayb still,2020,103,['comedy'],['US'],5.1
152,Ni de coña,four coupl attend spiritu retreat caribbean safe relationship overcom test set  unusu love gurus fight live wasnt part plan,2020,90,"['comedy', 'european']","['CO', 'ES']",2.8
153,Hard Kill,work billionair tech ceo donovan chalmer valuabl hire mercenari protect terrorist group kidnap daughter get,2020,98,"['thriller', 'action']",['US'],3.3
154,World Famous Lover,amalgam four differ love stori seenayya suvarna middleclass coupl small town gautham ubercool youngster romanc street pari girlfriend iza union leader srinu head heel love boss ladi first colleg romanc,2020,156,"['romance', 'drama']",['IN'],5.0
155,The 2nd,secretservic agent vic davi way pick estrang son sean colleg campus find middl highstak terrorist oper son friend erin walton daughter suprem court justic walton target arm faction stop noth kidnap use leverag pend landmark legal case,2020,93,"['action', 'drama']",['US'],3.8
156,Nobody Knows I'm Here,memo live remot chilean sheep farm hide beauti sing voic outsid world reclus glitteri flair cant stop dwell past happen someon final listen,2020,91,"['drama', 'music']",['CL'],6.5
157,Seized,hide son taylor mexican coast nero hope put violent special forc career behind nero home attack taylor abduct mysteri mzamo order nero slaughter member three rival crime syndic fail taylor die bullet fli bodi drop nero complet mission race find mzamo hideout seek reveng,2020,85,"['action', 'thriller']",['US'],5.3
158,Asphalt Burning,third final instal burnout trilog time road lead norway sweden denmark final germani race famous race track nürburgr,2020,100,"['comedy', 'action', 'european']","['NO', 'DE']",5.1
159,A Secret Love,amid shift time two women kept decadeslong love secret come later life come set challeng,2020,83,"['documentation', 'drama']",['US'],7.8
160,All My Friends Are Dead,group friend new year eve parti go whirlwind event expos secret break heart — lead shock outcom,2020,95,"['comedy', 'drama', 'thriller', 'crime']",['PL'],5.8
161,Rose Island,idealist engin build island italian coast declar nation draw world attent valu test italian govern declar enemi chang world risk must taken,2020,117,"['drama', 'comedy']",['IT'],7.0
162,Jim Jefferies: Intolerant,scene excruci date jim jefferi dig generat differ bad habit shift boundari comedi,2020,66,['comedy'],['US'],7.2
163,Work It,brilliant clumsi high school senior vow get late father alma mater transform misfit squad danc champion,2020,93,"['comedy', 'music']",['US'],6.1
164,A Babysitter's Guide to Monster Hunting,recruit secret societi babysitt high schooler battl boogeyman monster nab boy shes watch halloween,2020,94,"['fantasy', 'family', 'comedy']",['US'],5.4
165,Roped,star cowboy travel rodeo get thrown cours fall love daughter toughmind town councilman,2020,90,"['drama', 'romance', 'family', 'comedy']",['US'],5.4
166,Making The Witcher,journey extraordinari world witcher — cast role jaskier catchi song — behindthescen look seri go behind monster ballad everi bit magic went bring witcher contin life,2020,37,['documentation'],['GB'],6.8
